Site,Location,Area,Patient/Person Involved
1275 York Ave,Ambulatory/Clinic,A3 Clinic,Not Applicable
1275 York Ave,Ambulatory/Clinic,A3 Clinic,Outpatient
1275 York Ave,Ambulatory/Clinic,A3 Clinic,Visitor
1275 York Ave,Ambulatory/Clinic,BMT,Not Applicable
1275 York Ave,Ambulatory/Clinic,BMT,Outpatient
1275 York Ave,Ambulatory/Clinic,BMT,Visitor
1275 York Ave,Ambulatory/Clinic,Cardiology,Not Applicable
1275 York Ave,Ambulatory/Clinic,Cardiology,Outpatient
1275 York Ave,Ambulatory/Clinic,Cardiology,Visitor
1275 York Ave,Ambulatory/Clinic,CDU,Inpatient
1275 York Ave,Ambulatory/Clinic,CDU,Not Applicable
1275 York Ave,Ambulatory/Clinic,CDU,Outpatient
1275 York Ave,Ambulatory/Clinic,CDU,Visitor
1275 York Ave,Ambulatory/Clinic,CDU,CDU-Observation
1275 York Ave,Ambulatory/Clinic,Chemo verification,Not Applicable
1275 York Ave,Ambulatory/Clinic,Chemo verification,Outpatient
1275 York Ave,Ambulatory/Clinic,Chemo verification,Visitor
1275 York Ave,Ambulatory/Clinic,Chemo verification - Pediatrics,Not Applicable
1275 York Ave,Ambulatory/Clinic,Chemo verification - Pediatrics,Outpatient
1275 York Ave,Ambulatory/Clinic,Chemo verification - Pediatrics,Visitor
1275 York Ave,Ambulatory/Clinic,Chemo/Infusion Treatment Area,Not Applicable
1275 York Ave,Ambulatory/Clinic,Chemo/Infusion Treatment Area,Outpatient
1275 York Ave,Ambulatory/Clinic,Chemo/Infusion Treatment Area,Visitor
1275 York Ave,Ambulatory/Clinic,Dental,Not Applicable
1275 York Ave,Ambulatory/Clinic,Dental,Outpatient
1275 York Ave,Ambulatory/Clinic,Dental,Visitor
1275 York Ave,Ambulatory/Clinic,Haupt 04,Not Applicable
1275 York Ave,Ambulatory/Clinic,Haupt 04,Observation
1275 York Ave,Ambulatory/Clinic,Haupt 04,Outpatient
1275 York Ave,Ambulatory/Clinic,Haupt 04,Visitor
1275 York Ave,Ambulatory/Clinic,Hematology,Not Applicable
1275 York Ave,Ambulatory/Clinic,Hematology,Outpatient
1275 York Ave,Ambulatory/Clinic,Hematology,Visitor
1275 York Ave,Ambulatory/Clinic,Leukemia,Not Applicable
1275 York Ave,Ambulatory/Clinic,Leukemia,Outpatient
1275 York Ave,Ambulatory/Clinic,Leukemia,Visitor
1275 York Ave,Ambulatory/Clinic,Ophthalmology,Not Applicable
1275 York Ave,Ambulatory/Clinic,Ophthalmology,Outpatient
1275 York Ave,Ambulatory/Clinic,Ophthalmology,Visitor
1275 York Ave,Ambulatory/Clinic,Neurosurgery,Not Applicable
1275 York Ave,Ambulatory/Clinic,Neurosurgery,Outpatient
1275 York Ave,Ambulatory/Clinic,Neurosurgery,Visitor
1275 York Ave,Ambulatory/Clinic,PACC,Not Applicable
1275 York Ave,Ambulatory/Clinic,PACC,Outpatient
1275 York Ave,Ambulatory/Clinic,PACC,Visitor
1275 York Ave,Ambulatory/Clinic,Pediatric UCC,Not Applicable
1275 York Ave,Ambulatory/Clinic,Pediatric UCC,Outpatient
1275 York Ave,Ambulatory/Clinic,Pediatric UCC,Visitor
1275 York Ave,Ambulatory/Clinic,Phlebotomy,Not Applicable
1275 York Ave,Ambulatory/Clinic,Phlebotomy,Outpatient
1275 York Ave,Ambulatory/Clinic,Phlebotomy,Visitor
1275 York Ave,Ambulatory/Clinic,Pulmonology,Not Applicable
1275 York Ave,Ambulatory/Clinic,Pulmonology,Outpatient
1275 York Ave,Ambulatory/Clinic,Pulmonology,Visitor
1275 York Ave,Ambulatory/Clinic,Rehabilitation Medicine,Inpatient
1275 York Ave,Ambulatory/Clinic,Rehabilitation Medicine,Not Applicable
1275 York Ave,Ambulatory/Clinic,Rehabilitation Medicine,Outpatient
1275 York Ave,Ambulatory/Clinic,Rehabilitation Medicine,Visitor
1275 York Ave,Ambulatory/Clinic,Speech and Hearing,Not Applicable
1275 York Ave,Ambulatory/Clinic,Speech and Hearing,Outpatient
1275 York Ave,Ambulatory/Clinic,Speech and Hearing,Visitor
1275 York Ave,Ambulatory/Clinic,UCC,Not Applicable
1275 York Ave,Ambulatory/Clinic,UCC,Outpatient
1275 York Ave,Ambulatory/Clinic,UCC,CDU-Observation
1275 York Ave,Ambulatory/Clinic,UCC,Visitor
1275 York Ave,Cardiopulmonary Testing,Cardiopulmonary Testing,Inpatient
1275 York Ave,Cardiopulmonary Testing,Cardiopulmonary Testing,Not Applicable
1275 York Ave,Cardiopulmonary Testing,Cardiopulmonary Testing,Outpatient
1275 York Ave,Cardiopulmonary Testing,Cardiopulmonary Testing,Visitor
